Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
5.046087625000000,26836,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.046203750000000,26837,DATA,0x090,0x8,0xF1 0xFF 0xFF 0xFF 0x3F 0x00 0x00 0x00,0x76EF,ACK
5.046326000000000,26838,DATA,0x090,0x6,0x35 0x00 0x00 0x00 0xF8 0x0E,0x4B69,ACK
5.046435250000000,26839,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
5.047722750000000,26840,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.047839000000000,26841,DATA,0x090,0x8,0xF1 0xFF 0xFF 0xFF 0x3D 0x00 0x00 0x00,0x4B1F,ACK
5.047961250000000,26842,DATA,0x090,0x6,0x3A 0x00 0x00 0x00 0xF9 0x0E,0x6172,ACK
5.048070500000000,26843,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
5.049400000000000,26844,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.049516250000000,26845,DATA,0x090,0x8,0xF1 0xFF 0xFF 0xFF 0x3B 0x00 0x00 0x00,0x0D0F,ACK
5.049638500000000,26846,DATA,0x090,0x6,0x3E 0x00 0x00 0x00 0xFA 0x0E,0x1031,ACK
5.049757750000000,26847,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
5.051083250000000,26848,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
5.051199500000000,26849,DATA,0x090,0x8,0xF3 0xFF 0xFF 0xFF 0x3A 0x00 0x00 0x00,0x780E,ACK
5.051323750000000,26850,DATA,0x090,0x6,0x41 0x00 0x00 0x00 0xFB 0x0E,0x695F,ACK
5.051427000000000,26851,DATA,0x118,0x8,0x55 0xAA 0x55 0xAA 0x04 0x10 0x06 0x00,0x7106,ACK
5.051544125000000,26852,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
5.051624375000000,26853,DATA,0x118,0x6,0x17 0x00 0x81 0x00 0x0D 0x01,0x60D6,ACK
5.051745625000000,26854,DATA,0x118,0x4,0x66 0xCC 0x66 0xCC,0x5CF6,ACK
5.052556000000000,26855,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x02 0x10 0x78 0x00,0x113D,ACK
5.052673250000000,26856,DATA,0x090,0x8,0x18 0x10 0xD9 0x5C 0xEF 0x2F 0xC3 0x3F,0x5A2A,ACK
5.052789500000000,26857,DATA,0x090,0x8,0x2F 0xF5 0xA3 0x01 0xA4 0x0A 0xED 0x3F,0x194C,ACK
5.052913750000000,26858,DATA,0x090,0x8,0x96 0x83 0x0E 0x43 0x54 0xEA 0x86 0x3A,0x455F,ACK
5.053027875000000,26859,DATA,0x090,0x8,0x46 0x7C 0xCE 0x3C 0x6F 0x88 0x81 0xBF,0x0C97,ACK
5.053144125000000,26860,DATA,0x090,0x8,0x86 0x09 0x3A 0xBB 0x9F 0x3A 0x18 0x3C,0x590C,ACK
5.053267375000000,26861,DATA,0x090,0x8,0x38 0x21 0x2C 0x3C 0x46 0x8B 0x74 0x43,0x372E,ACK
5.053381625000000,26862,DATA,0x090,0x8,0x9E 0x3C 0x5A 0x3F 0xE5 0xE8 0xB9 0xBB,0x6F27,ACK
5.053494875000000,26863,DATA,0x090,0x8,0x91 0x79 0x44 0x3C 0xC3 0xC7 0x05 0xBF,0x3952,ACK
5.053616125000000,26864,DATA,0x090,0x8,0x68 0x6B 0x18 0xBD 0x62 0xDB 0x06 0x3E,0x514E,ACK
5.053730250000000,26865,DATA,0x090,0x8,0x80 0x88 0xEA 0x3A 0x00 0x00 0x00 0x00,0x377B,ACK
5.053849500000000,26866,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x45 0x9D 0x38 0x3C,0x1376,ACK
5.053978750000000,26867,DATA,0x090,0x8,0x78 0xE9 0xC7 0xB3 0x11 0xC0 0x29 0x38,0x3CCC,ACK
5.054092000000000,26868,DATA,0x090,0x8,0xB3 0x6C 0x96 0xB6 0xD5 0x00 0x97 0x01,0x6897,ACK
5.054206250000000,26869,DATA,0x090,0x8,0x7B 0x04 0x36 0x00 0x36 0x00 0x25 0x00,0x4CBB,ACK
5.054331500000000,26870,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x80 0x02,0x6466,ACK
5.054455625000000,26871,DATA,0x090,0x8,0x66 0xCC 0x66 0xCC 0x55 0xAA 0x55 0xAA,0x03E5,ACK
